source_file;entrypoint_from_main;depth;function;function_camel_case;called_by;path_from_main
src/imageCompositeConverter.py;main;2;_readValidationLogDetails;_readValidationLogDetails;convertRange;main > convertRange > _readValidationLogDetails
src/imageCompositeConverter.py;main;2;_readValidationLogDetails;_readValidationLogDetails;convertRange;main > convertRange > _readValidationLogDetails
src/imageCompositeConverter.py;main;2;getBaseNameFromFile;getBaseNameFromFile;convertRange;main > convertRange > getBaseNameFromFile
src/imageCompositeConverter.py;main;2;_tryTemplateTransfer;_tryTemplateTransfer;convertRange;main > convertRange > _tryTemplateTransfer
src/imageCompositeConverter.py;main;3;_readSvgGeometry;_readSvgGeometry;_tryTemplateTransfer;main > convertRange > _tryTemplateTransfer > _readSvgGeometry
src/imageCompositeConverter.py;main;3;_rankTemplateTransferDonors;_rankTemplateTransferDonors;_tryTemplateTransfer;main > convertRange > _tryTemplateTransfer > _rankTemplateTransferDonors
src/imageCompositeConverter.py;main;4;_normalizedGeometrySignature;_normalizedGeometrySignature;_rankTemplateTransferDonors;main > convertRange > _tryTemplateTransfer > _rankTemplateTransferDonors > _normalizedGeometrySignature
src/imageCompositeConverter.py;main;4;_normalizedGeometrySignature;_normalizedGeometrySignature;_rankTemplateTransferDonors;main > convertRange > _tryTemplateTransfer > _rankTemplateTransferDonors > _normalizedGeometrySignature
src/imageCompositeConverter.py;main;4;_maxSignatureDelta;_maxSignatureDelta;_rankTemplateTransferDonors;main > convertRange > _tryTemplateTransfer > _rankTemplateTransferDonors > _maxSignatureDelta
src/imageCompositeConverter.py;main;3;_templateTransferDonorFamilyCompatible;_templateTransferDonorFamilyCompatible;_tryTemplateTransfer;main > convertRange > _tryTemplateTransfer > _templateTransferDonorFamilyCompatible
src/imageCompositeConverter.py;main;4;_extractSymbolFamily;_extractSymbolFamily;_templateTransferDonorFamilyCompatible;main > convertRange > _tryTemplateTransfer > _templateTransferDonorFamilyCompatible > _extractSymbolFamily
src/imageCompositeConverter.py;main;4;_extractSymbolFamily;_extractSymbolFamily;_templateTransferDonorFamilyCompatible;main > convertRange > _tryTemplateTransfer > _templateTransferDonorFamilyCompatible > _extractSymbolFamily
src/imageCompositeConverter.py;main;3;_readSvgGeometry;_readSvgGeometry;_tryTemplateTransfer;main > convertRange > _tryTemplateTransfer > _readSvgGeometry
src/imageCompositeConverter.py;main;3;_estimateTemplateTransferScale;_estimateTemplateTransferScale;_tryTemplateTransfer;main > convertRange > _tryTemplateTransfer > _estimateTemplateTransferScale
src/imageCompositeConverter.py;main;4;_buildTransformedSvgFromTemplate;_buildTransformedSvgFromTemplate;_estimateTemplateTransferScale;main > convertRange > _tryTemplateTransfer > _estimateTemplateTransferScale > _buildTransformedSvgFromTemplate
src/imageCompositeConverter.py;main;5;_extractSvgInner;_extractSvgInner;_buildTransformedSvgFromTemplate;main > convertRange > _tryTemplateTransfer > _estimateTemplateTransferScale > _buildTransformedSvgFromTemplate > _extractSvgInner
src/imageCompositeConverter.py;main;3;_semanticTransferIsCompatible;_semanticTransferIsCompatible;_tryTemplateTransfer;main > convertRange > _tryTemplateTransfer > _semanticTransferIsCompatible
src/imageCompositeConverter.py;main;4;_connectorArmDirection;_connectorArmDirection;_semanticTransferIsCompatible;main > convertRange > _tryTemplateTransfer > _semanticTransferIsCompatible > _connectorArmDirection
src/imageCompositeConverter.py;main;4;_connectorArmDirection;_connectorArmDirection;_semanticTransferIsCompatible;main > convertRange > _tryTemplateTransfer > _semanticTransferIsCompatible > _connectorArmDirection
src/imageCompositeConverter.py;main;4;_connectorStemDirection;_connectorStemDirection;_semanticTransferIsCompatible;main > convertRange > _tryTemplateTransfer > _semanticTransferIsCompatible > _connectorStemDirection
src/imageCompositeConverter.py;main;4;_connectorStemDirection;_connectorStemDirection;_semanticTransferIsCompatible;main > convertRange > _tryTemplateTransfer > _semanticTransferIsCompatible > _connectorStemDirection
src/imageCompositeConverter.py;main;3;_semanticTransferScaleCandidates;_semanticTransferScaleCandidates;_tryTemplateTransfer;main > convertRange > _tryTemplateTransfer > _semanticTransferScaleCandidates
src/imageCompositeConverter.py;main;4;_templateTransferScaleCandidates;_templateTransferScaleCandidates;_semanticTransferScaleCandidates;main > convertRange > _tryTemplateTransfer > _semanticTransferScaleCandidates > _templateTransferScaleCandidates
src/imageCompositeConverter.py;main;3;_semanticTransferRotations;_semanticTransferRotations;_tryTemplateTransfer;main > convertRange > _tryTemplateTransfer > _semanticTransferRotations
