class_id,example_image_id,status,in samples,count_in_class
RepAus,RepAus,not_satisfactory,,1
RepEin,RepEin,not_satisfactory,,1
SE0010,SE0010,not_satisfactory,,1
SE0011,SE0011,not_satisfactory,,1
SE0012,SE0012,not_satisfactory,,1
SE0013,SE0013,not_satisfactory,,1
SE0014,SE0014,not_satisfactory,,1
SE0021,SE0021,not_satisfactory,,1
SE0022,SE0022,not_satisfactory,,1
SE0023,SE0023,not_satisfactory,,1
SE0024,SE0024,not_satisfactory,,1
SE0041,SE0041,not_satisfactory,,2
SE0051,SE0051,not_satisfactory,,1
SE0052,SE0052,not_satisfactory,,1
SE0053,SE0053,not_satisfactory,,1
SE0054,SE0054,not_satisfactory,,1
SE0061,SE0061,not_satisfactory,,1
SE0062,SE0062,not_satisfactory,,1
SE0063,SE0063,not_satisfactory,,1
SE0064,SE0064,not_satisfactory,,1
SE0071,SE0071,not_satisfactory,,1
SE0072,SE0072,not_satisfactory,,1
SE0073,SE0073,not_satisfactory,,1
SE0074,SE0074,not_satisfactory,,1
SE0081,SE0081,not_satisfactory,,1
SE0082,SE0082,not_satisfactory,,1
SE0083,SE0083,not_satisfactory,,1
SE0084,SE0084,not_satisfactory,,1
SE0090,SE0090,not_satisfactory,,1
SE0091,SE0091,not_satisfactory,,1
SE0092,SE0092,not_satisfactory,,1
SE0093,SE0093,not_satisfactory,,1
SE0094,SE0094,not_satisfactory,,1
SE0100,SE0100,not_satisfactory,,1
SE0101,SE0101,not_satisfactory,,1
SE0102,SE0102,not_satisfactory,,1
SE0103,SE0103,not_satisfactory,,1
SE0104,SE0104,not_satisfactory,,1
SE0110,SE0110,not_satisfactory,,1
SE0111,SE0111,not_satisfactory,,1
SE0112,SE0112,not_satisfactory,,1
SE0113,SE0113,not_satisfactory,,1
SE0114,SE0114,not_satisfactory,,1
SE0120,SE0120,not_satisfactory,,1
SE0121,SE0121,not_satisfactory,,1
SE0122,SE0122,not_satisfactory,,1
SE0123,SE0123,not_satisfactory,,1
SE0124,SE0124,not_satisfactory,,1
SH,SH_Objekt1,not_satisfactory,,3
SemALD1,SemALD1,not_satisfactory,,1
SemALE3,SemALE3,not_satisfactory,,1
SemAWD3,SemAWD3,not_satisfactory,,1
Sign,Sign_07,not_satisfactory,,1
Status,Status,not_satisfactory,,1
WT,WT_L,not_satisfactory,,1
b,b_alarm,not_satisfactory,,14
bg,bg_deco_norm,not_satisfactory,,1
btn,btn_air,not_satisfactory,,9
p,p_date,not_satisfactory,,1
weather01,weather01,not_satisfactory,,1
weather02,weather02,not_satisfactory,,1
weather03,weather03,not_satisfactory,,1
weather04,weather04,not_satisfactory,,1
weather05,weather05,not_satisfactory,,1
z,z_111,not_satisfactory,,58
