image_id,status,in samples
AC0501_2_L,not_satisfactory,
AC0501_2_M,not_satisfactory,
AC0501_2_S,not_satisfactory,
AC0501_L,not_satisfactory,
AC0501_L_sia,not_satisfactory,
AC0501_M,not_satisfactory,
AC0501_M_sia,not_satisfactory,
AC0501_S,not_satisfactory,
AC0501_S_sia,not_satisfactory,
AC0502_1L_sia,not_satisfactory,
AC0502_1M_sia,not_satisfactory,
AC0502_1S_sia,not_satisfactory,
AC0502_1_L,not_satisfactory,
AC0502_1_M,not_satisfactory,
AC0502_1_S,not_satisfactory,
AC0502_2L_sia,not_satisfactory,
AC0502_2M_sia,not_satisfactory,
AC0502_2S_sia,not_satisfactory,
AC0502_2_L,not_satisfactory,
AC0502_2_M,not_satisfactory,
AC0502_2_S,not_satisfactory,
AC0502_L,not_satisfactory,
AC0502_L_sia,not_satisfactory,
AC0502_M,not_satisfactory,
AC0502_M_sia,not_satisfactory,
AC0502_S,not_satisfactory,
AC0502_S_sia,not_satisfactory,
AC0503_1L_sia,not_satisfactory,
AC0503_1M_sia,not_satisfactory,
AC0503_1S_sia,not_satisfactory,
AC0503_2L_sia,not_satisfactory,
AC0503_2M_sia,not_satisfactory,
AC0503_2S_sia,not_satisfactory,
AC0503_L_sia,not_satisfactory,
AC0503_M_sia,not_satisfactory,
AC0503_S_sia,not_satisfactory,
AC0504_1L_sia,not_satisfactory,
AC0504_1M_sia,not_satisfactory,
AC0504_1S_sia,not_satisfactory,
AC0504_2L_sia,not_satisfactory,
AC0504_2M_sia,not_satisfactory,
AC0504_2S_sia,not_satisfactory,
AC0504_L_sia,not_satisfactory,
AC0504_M_sia,not_satisfactory,
AC0504_S_sia,not_satisfactory,
AC0511_1_L,not_satisfactory,
AC0511_1_M,not_satisfactory,
AC0511_1_S,not_satisfactory,
AC0511_L,not_satisfactory,
AC0511_M,not_satisfactory,
AC0511_S,not_satisfactory,
AC0512_1_L,not_satisfactory,
AC0512_1_M,not_satisfactory,
AC0512_1_S,not_satisfactory,
AC0512_L,not_satisfactory,
AC0512_M,not_satisfactory,
AC0512_S,not_satisfactory,
AC0521_L,not_satisfactory,
AC0521_M,not_satisfactory,
AC0521_S,not_satisfactory,
AC0522_L,not_satisfactory,
AC0522_M,not_satisfactory,
AC0522_S,not_satisfactory,
AC0531_1L_sia,not_satisfactory,
AC0531_1M_sia,not_satisfactory,
AC0531_1S_sia,not_satisfactory,
AC0531_1_L,not_satisfactory,
AC0531_1_M,not_satisfactory,
AC0531_1_S,not_satisfactory,
AC0531_2L_sia,not_satisfactory,
AC0531_2M_sia,not_satisfactory,
AC0531_2S_sia,not_satisfactory,
AC0531_2_L,not_satisfactory,
AC0531_2_M,not_satisfactory,
AC0531_2_S,not_satisfactory,
AC0531_L,not_satisfactory,
AC0531_L_sia,not_satisfactory,
AC0531_M,not_satisfactory,
AC0531_M_sia,not_satisfactory,
AC0531_S,not_satisfactory,
AC0531_S_sia,not_satisfactory,
AC0532_1L_sia,not_satisfactory,
AC0532_1M_sia,not_satisfactory,
AC0532_1S_sia,not_satisfactory,
AC0532_1_L,not_satisfactory,
AC0532_1_M,not_satisfactory,
AC0532_1_S,not_satisfactory,
AC0532_2L_sia,not_satisfactory,
AC0532_2M_sia,not_satisfactory,
AC0532_2S_sia,not_satisfactory,
AC0532_2_L,not_satisfactory,
AC0532_2_M,not_satisfactory,
AC0532_2_S,not_satisfactory,
AC0532_L,not_satisfactory,
AC0532_L_sia,not_satisfactory,
AC0532_M,not_satisfactory,
AC0532_M_sia,not_satisfactory,
AC0532_S,not_satisfactory,
AC0532_S_sia,not_satisfactory,
AC0533_1L_sia,not_satisfactory,
AC0533_1M_sia,not_satisfactory,
AC0533_1S_sia,not_satisfactory,
AC0533_2L_sia,not_satisfactory,
AC0533_2M_sia,not_satisfactory,
AC0533_2S_sia,not_satisfactory,
AC0533_L_sia,not_satisfactory,
AC0533_M_sia,not_satisfactory,
AC0533_S_sia,not_satisfactory,
AC0534_1L_sia,not_satisfactory,
AC0534_1M_sia,not_satisfactory,
AC0534_1S_sia,not_satisfactory,
AC0534_2L_sia,not_satisfactory,
AC0534_2M_sia,not_satisfactory,
AC0534_2S_sia,not_satisfactory,
AC0534_L_sia,not_satisfactory,
AC0534_M_sia,not_satisfactory,
AC0534_S_sia,not_satisfactory,
AC0535_1L_sia,not_satisfactory,
AC0535_1M_sia,not_satisfactory,
AC0535_1S_sia,not_satisfactory,
AC0535_2L_sia,not_satisfactory,
AC0535_2M_sia,not_satisfactory,
AC0535_2S_sia,not_satisfactory,
AC0535_L_sia,not_satisfactory,
AC0535_M_sia,not_satisfactory,
AC0535_S_sia,not_satisfactory,
AC0536_1L_sia,not_satisfactory,
AC0536_1M_sia,not_satisfactory,
AC0536_1S_sia,not_satisfactory,
AC0536_2L_sia,not_satisfactory,
AC0536_2M_sia,not_satisfactory,
AC0536_2S_sia,not_satisfactory,
AC0536_L_sia,not_satisfactory,
AC0536_M_sia,not_satisfactory,
AC0536_S_sia,not_satisfactory,
AC0537_1L_sia,not_satisfactory,
AC0537_1M_sia,not_satisfactory,
AC0537_1S_sia,not_satisfactory,
AC0537_2L_sia,not_satisfactory,
AC0537_2M_sia,not_satisfactory,
AC0537_2S_sia,not_satisfactory,
AC0537_L_sia,not_satisfactory,
AC0537_M_sia,not_satisfactory,
AC0537_S_sia,not_satisfactory,
AC0538_1L_sia,not_satisfactory,
AC0538_1M_sia,not_satisfactory,
AC0538_1S_sia,not_satisfactory,
AC0538_2L_sia,not_satisfactory,
AC0538_2M_sia,not_satisfactory,
AC0538_2S_sia,not_satisfactory,
AC0538_L_sia,not_satisfactory,
AC0538_M_sia,not_satisfactory,
AC0538_S_sia,not_satisfactory,
AC0541_1_L,not_satisfactory,
AC0541_1_M,not_satisfactory,
AC0541_1_S,not_satisfactory,
AC0541_2_L,not_satisfactory,
AC0541_2_M,not_satisfactory,
AC0541_2_S,not_satisfactory,
AC0541_L,not_satisfactory,
AC0541_M,not_satisfactory,
AC0541_S,not_satisfactory,
AC0542_1_L,not_satisfactory,
AC0542_1_M,not_satisfactory,
AC0542_1_S,not_satisfactory,
AC0542_2_L,not_satisfactory,
AC0542_2_M,not_satisfactory,
AC0542_2_S,not_satisfactory,
AC0542_L,not_satisfactory,
AC0542_M,not_satisfactory,
AC0542_S,not_satisfactory,
AC0551_1_L,not_satisfactory,
AC0551_1_M,not_satisfactory,
AC0551_1_S,not_satisfactory,
AC0551_2_L,not_satisfactory,
AC0551_2_M,not_satisfactory,
AC0551_2_S,not_satisfactory,
AC0551_L,not_satisfactory,
AC0551_M,not_satisfactory,
AC0551_S,not_satisfactory,
AC0552_1_L,not_satisfactory,
AC0552_1_M,not_satisfactory,
AC0552_1_S,not_satisfactory,
AC0552_2_L,not_satisfactory,
AC0552_2_M,not_satisfactory,
AC0552_2_S,not_satisfactory,
AC0552_L,not_satisfactory,
AC0552_M,not_satisfactory,
AC0552_S,not_satisfactory,
AC0553_1_L,not_satisfactory,
AC0553_1_M,not_satisfactory,
AC0553_1_S,not_satisfactory,
AC0553_2_L,not_satisfactory,
AC0553_2_M,not_satisfactory,
AC0553_2_S,not_satisfactory,
AC0553_L,not_satisfactory,
AC0553_M,not_satisfactory,
AC0553_S,not_satisfactory,
AC0554_1_L,not_satisfactory,
AC0554_1_M,not_satisfactory,
AC0554_1_S,not_satisfactory,
AC0554_2_L,not_satisfactory,
AC0554_2_M,not_satisfactory,
AC0554_2_S,not_satisfactory,
AC0554_L,not_satisfactory,
AC0554_M,not_satisfactory,
AC0554_S,not_satisfactory,
AC0561_sia_L,not_satisfactory,
AC0561_sia_M,not_satisfactory,
AC0561_sia_S,not_satisfactory,
AC0562_sia_L,not_satisfactory,
AC0562_sia_M,not_satisfactory,
AC0562_sia_S,not_satisfactory,
AC0572_L,not_satisfactory,
AC0572_M,not_satisfactory,
AC0572_S,not_satisfactory,
AC0573_L,not_satisfactory,
AC0573_M,not_satisfactory,
AC0573_S,not_satisfactory,
AC0701_1_L,not_satisfactory,
AC0701_1_M,not_satisfactory,
AC0701_1_S,not_satisfactory,
AC0701_L,not_satisfactory,
AC0701_M,not_satisfactory,
AC0701_S,not_satisfactory,
AC0702_1_L,not_satisfactory,
AC0702_1_M,not_satisfactory,
AC0702_1_S,not_satisfactory,
AC0702_L,not_satisfactory,
AC0702_M,not_satisfactory,
AC0702_S,not_satisfactory,
AC0703_1_L,not_satisfactory,
AC0703_1_M,not_satisfactory,
AC0703_1_S,not_satisfactory,
AC0703_L,not_satisfactory,
AC0703_M,not_satisfactory,
AC0703_S,not_satisfactory,
AC0704_1_L,not_satisfactory,
AC0704_1_M,not_satisfactory,
AC0704_1_S,not_satisfactory,
AC0704_L,not_satisfactory,
AC0704_M,not_satisfactory,
AC0704_S,not_satisfactory,
AC0711_1_L,not_satisfactory,
AC0711_1_M,not_satisfactory,
AC0711_1_S,not_satisfactory,
AC0711_L,not_satisfactory,
AC0711_M,not_satisfactory,
AC0711_S,not_satisfactory,
AC0712_1_L,not_satisfactory,
AC0712_1_M,not_satisfactory,
AC0712_1_S,not_satisfactory,
AC0712_L,not_satisfactory,
AC0712_M,not_satisfactory,
AC0712_S,not_satisfactory,
AC0713_1_L,not_satisfactory,
AC0713_1_M,not_satisfactory,
AC0713_1_S,not_satisfactory,
AC0713_L,not_satisfactory,
AC0713_M,not_satisfactory,
AC0713_S,not_satisfactory,
AC0714_1_L,not_satisfactory,
AC0714_1_M,not_satisfactory,
AC0714_1_S,not_satisfactory,
AC0714_L,not_satisfactory,
AC0714_M,not_satisfactory,
AC0714_S,not_satisfactory,
AC0721_1_L,not_satisfactory,
AC0721_1_M,not_satisfactory,
AC0721_1_S,not_satisfactory,
AC0721_L,not_satisfactory,
AC0721_M,not_satisfactory,
AC0721_S,not_satisfactory,
AC0722_1_L,not_satisfactory,
AC0722_1_M,not_satisfactory,
AC0722_1_S,not_satisfactory,
AC0722_L,not_satisfactory,
AC0722_M,not_satisfactory,
AC0722_S,not_satisfactory,
AC0723_1_L,not_satisfactory,
AC0723_1_M,not_satisfactory,
AC0723_1_S,not_satisfactory,
AC0723_L,not_satisfactory,
AC0723_M,not_satisfactory,
AC0723_S,not_satisfactory,
AC0724_1_L,not_satisfactory,
AC0724_1_M,not_satisfactory,
AC0724_1_S,not_satisfactory,
AC0724_L,not_satisfactory,
AC0724_M,not_satisfactory,
AC0724_S,not_satisfactory,
AC0731_1_L,not_satisfactory,
AC0731_1_M,not_satisfactory,
AC0731_1_S,not_satisfactory,
AC0731_L,not_satisfactory,
AC0731_M,not_satisfactory,
AC0731_S,not_satisfactory,
AC0732_1_L,not_satisfactory,
AC0732_1_M,not_satisfactory,
AC0732_1_S,not_satisfactory,
AC0732_L,not_satisfactory,
AC0732_M,not_satisfactory,
AC0732_S,not_satisfactory,
AC0733_1_L,not_satisfactory,
AC0733_1_M,not_satisfactory,
AC0733_1_S,not_satisfactory,
AC0733_L,not_satisfactory,
AC0733_M,not_satisfactory,
AC0733_S,not_satisfactory,
AC0734_1_L,not_satisfactory,
AC0734_1_M,not_satisfactory,
AC0734_1_S,not_satisfactory,
AC0734_L,not_satisfactory,
AC0734_M,not_satisfactory,
AC0734_S,not_satisfactory,
AC0820_S,not_satisfactory,
AC0833_L,not_satisfactory,
AC0833_M,not_satisfactory,
AC0833_S,not_satisfactory,
AC0838_L,not_satisfactory,
AC0838_S,not_satisfactory,
AC0840_L,not_satisfactory,
AC0840_M,not_satisfactory,
AC0840_S,not_satisfactory,
AC0841_L,not_satisfactory,
AC0841_M,not_satisfactory,
AC0841_S,not_satisfactory,
AC0842_L,not_satisfactory,
AC0842_M,not_satisfactory,
AC0842_S,not_satisfactory,
AC0843_L,not_satisfactory,
AC0843_M,not_satisfactory,
AC0843_S,not_satisfactory,
AC0844_L,not_satisfactory,
AC0844_M,not_satisfactory,
AC0844_S,not_satisfactory,
AC0845_L,not_satisfactory,
AC0845_M,not_satisfactory,
AC0845_S,not_satisfactory,
AC0846_L,not_satisfactory,
AC0846_M,not_satisfactory,
AC0846_S,not_satisfactory,
AC0847_L,not_satisfactory,
AC0847_M,not_satisfactory,
AC0847_S,not_satisfactory,
AC0848_L,not_satisfactory,
AC0848_M,not_satisfactory,
AC0848_S,not_satisfactory,
AC0849_L,not_satisfactory,
AC0849_M,not_satisfactory,
AC0849_S,not_satisfactory,
AC0850_L,not_satisfactory,
AC0850_M,not_satisfactory,
AC0850_S,not_satisfactory,
AC0861_L,not_satisfactory,
AC0861_M,not_satisfactory,
AC0861_S,not_satisfactory,
AC0862_L,not_satisfactory,
AC0862_M,not_satisfactory,
AC0862_S,not_satisfactory,
AC0863_L,not_satisfactory,
AC0863_M,not_satisfactory,
AC0863_S,not_satisfactory,
AC0864_L,not_satisfactory,
AC0864_M,not_satisfactory,
AC0864_S,not_satisfactory,
AC0883_L,not_satisfactory,
AC0883_M,not_satisfactory,
AC0883_S,not_satisfactory,
AC0884_L,not_satisfactory,
AC0884_M,not_satisfactory,
AC0884_S,not_satisfactory,
AC0890_L,not_satisfactory,
AC0890_M,not_satisfactory,
AC0890_S,not_satisfactory,
AC0900_L,not_satisfactory,
AC0900_M,not_satisfactory,
AC0900_S,not_satisfactory,
AC0901_L,not_satisfactory,
AC0901_M,not_satisfactory,
AC0901_S,not_satisfactory,
AC0910_L,not_satisfactory,
AC0910_M,not_satisfactory,
