variant,source,image_path,svg_path,width,height,mean_delta2,normalized_mse,status,image_area
AC0552_S,diff_inventory,artifacts/images_to_convert/AC0552_S.jpg,artifacts/converted_images/converted_svgs/AC0552_S.svg,40,20,2936.572509765625,0.015053556374551455,ok,800
AC0553_2_L,diff_inventory,artifacts/images_to_convert/AC0553_2_L.jpg,artifacts/converted_images/converted_svgs/AC0553_2_L.svg,40,80,3803.660888671875,0.019498453869905806,ok,3200
AC0553_L,diff_inventory,artifacts/images_to_convert/AC0553_L.jpg,artifacts/converted_images/converted_svgs/AC0553_L.svg,40,80,3189.397216796875,0.016349594857346533,ok,3200
AC0553_S,diff_inventory,artifacts/images_to_convert/AC0553_S.jpg,artifacts/converted_images/converted_svgs/AC0553_S.svg,20,40,2974.544921875,0.015248211825579906,ok,800
AC0554_1_M,diff_inventory,artifacts/images_to_convert/AC0554_1_M.jpg,,,,,,missing_pair,
AC0554_2_M,diff_inventory,artifacts/images_to_convert/AC0554_2_M.jpg,,,,,,missing_pair,
AC0572_L,diff_inventory,artifacts/images_to_convert/AC0572_L.jpg,artifacts/converted_images/converted_svgs/AC0572_L.svg,40,80,3019.441650390625,0.015478362939334231,ok,3200
AC0572_S,diff_inventory,artifacts/images_to_convert/AC0572_S.jpg,artifacts/converted_images/converted_svgs/AC0572_S.svg,20,40,2482.427490234375,0.012725502961601307,ok,800
AC0701_1_S,diff_inventory,artifacts/images_to_convert/AC0701_1_S.jpg,artifacts/converted_images/converted_svgs/AC0701_1_S.svg,15,25,11669.037109375,0.05981820894207356,ok,375
AC0704_L,diff_inventory,artifacts/images_to_convert/AC0704_L.jpg,artifacts/converted_images/converted_svgs/AC0704_L.svg,45,25,4961.09326171875,0.025431722474529028,ok,1125
AC0712_1_L,diff_inventory,artifacts/images_to_convert/AC0712_1_L.jpg,artifacts/converted_images/converted_svgs/AC0712_1_L.svg,45,25,23135.765625,0.11859933679354094,ok,1125
AC0721_M,diff_inventory,artifacts/images_to_convert/AC0721_M.jpg,artifacts/converted_images/converted_svgs/AC0721_M.svg,20,35,5317.89013671875,0.027260746567826476,ok,700
AC0722_1_S,diff_inventory,artifacts/images_to_convert/AC0722_1_S.jpg,artifacts/converted_images/converted_svgs/AC0722_1_S.svg,25,15,15654.61328125,0.08024920303088556,ok,375
AC0722_L,diff_inventory,artifacts/images_to_convert/AC0722_L.jpg,artifacts/converted_images/converted_svgs/AC0722_L.svg,45,25,4168.970703125,0.02137111727861079,ok,1125
AC0723_1_M,diff_inventory,artifacts/images_to_convert/AC0723_1_M.jpg,artifacts/converted_images/converted_svgs/AC0723_1_M.svg,20,35,14611.533203125,0.0749021309912854,ok,700
AC0724_S,diff_inventory,artifacts/images_to_convert/AC0724_S.jpg,artifacts/converted_images/converted_svgs/AC0724_S.svg,25,15,6734.01611328125,0.034520138989010636,ok,375
AC0731_1_S,diff_inventory,artifacts/images_to_convert/AC0731_1_S.jpg,artifacts/converted_images/converted_svgs/AC0731_1_S.svg,15,25,10097.203125,0.05176062091503268,ok,375
AC0731_M,diff_inventory,artifacts/images_to_convert/AC0731_M.jpg,artifacts/converted_images/converted_svgs/AC0731_M.svg,20,35,6565.95849609375,0.033658636401864665,ok,700
AC0732_L,diff_inventory,artifacts/images_to_convert/AC0732_L.jpg,artifacts/converted_images/converted_svgs/AC0732_L.svg,45,25,7354.94921875,0.037703187075483785,ok,1125
AC0732_S,diff_inventory,artifacts/images_to_convert/AC0732_S.jpg,artifacts/converted_images/converted_svgs/AC0732_S.svg,25,15,5931.919921875,0.030408406622452904,ok,375
AC0733_L,diff_inventory,artifacts/images_to_convert/AC0733_L.jpg,artifacts/converted_images/converted_svgs/AC0733_L.svg,25,45,6273.328125,0.032158544790465204,ok,1125
AC0734_1_S,diff_inventory,artifacts/images_to_convert/AC0734_1_S.jpg,artifacts/converted_images/converted_svgs/AC0734_1_S.svg,25,15,14815.2080078125,0.07594621559816737,ok,375
AC0734_M,diff_inventory,artifacts/images_to_convert/AC0734_M.jpg,artifacts/converted_images/converted_svgs/AC0734_M.svg,35,20,5499.287109375,0.028190629805843907,ok,700
AC0812_S,diff_inventory,artifacts/images_to_convert/AC0812_S.jpg,artifacts/converted_images/converted_svgs/AC0812_S.svg,25,15,2840.72802734375,0.01456223517797642,ok,375
AC0814_S,diff_inventory,artifacts/images_to_convert/AC0814_S.jpg,artifacts/converted_images/converted_svgs/AC0814_S.svg,25,15,748.719970703125,0.0038381133958894013,ok,375
AC0820_L,diff_inventory,artifacts/images_to_convert/AC0820_L.jpg,artifacts/converted_images/converted_svgs/AC0820_L.svg,30,30,7331.3798828125,0.03758236515602973,ok,900
AC0832_L,diff_inventory,artifacts/images_to_convert/AC0832_L.jpg,artifacts/converted_images/converted_svgs/AC0832_L.svg,45,25,5384.21875,0.027600762527233116,ok,1125
AC0839_M,diff_inventory,artifacts/images_to_convert/AC0839_M.jpg,artifacts/converted_images/converted_svgs/AC0839_M.svg,35,20,5129.7900390625,0.02629650154587979,ok,700
AC0840_S,diff_inventory,artifacts/images_to_convert/AC0840_S.jpg,,,,,,missing_pair,
AC0841_L,diff_inventory,artifacts/images_to_convert/AC0841_L.jpg,,,,,,missing_pair,
AC0842_M,diff_inventory,artifacts/images_to_convert/AC0842_M.jpg,artifacts/converted_images/converted_svgs/AC0842_M.svg,35,20,5303.91845703125,0.02718912447536204,ok,700
AC0844_M,diff_inventory,artifacts/images_to_convert/AC0844_M.jpg,,,,,,missing_pair,
AC0848_L,diff_inventory,artifacts/images_to_convert/AC0848_L.jpg,artifacts/converted_images/converted_svgs/AC0848_L.svg,25,45,5793.56787109375,0.029699181704953222,ok,1125
AC0849_M,diff_inventory,artifacts/images_to_convert/AC0849_M.jpg,artifacts/converted_images/converted_svgs/AC0849_M.svg,35,20,8621.20703125,0.04419432029347687,ok,700
AC0861_L,diff_inventory,artifacts/images_to_convert/AC0861_L.jpg,,,,,,missing_pair,
AC0882_L,diff_inventory,artifacts/images_to_convert/AC0882_L.jpg,artifacts/converted_images/converted_svgs/AC0882_L.svg,45,25,2166.453369140625,0.011105745836937716,ok,1125
AC0883_M,diff_inventory,artifacts/images_to_convert/AC0883_M.jpg,,,,,,missing_pair,
AC0900_M,diff_inventory,artifacts/images_to_convert/AC0900_M.jpg,artifacts/converted_images/converted_svgs/AC0900_M.svg,80,55,7689.6552734375,0.039418968465654236,ok,4400
AC0901_L,diff_inventory,artifacts/images_to_convert/AC0901_L.jpg,artifacts/converted_images/converted_svgs/AC0901_L.svg,100,70,3379.3798828125,0.01732349036428297,ok,7000
AC0910_S,diff_inventory,artifacts/images_to_convert/AC0910_S.jpg,artifacts/converted_images/converted_svgs/AC0910_S.svg,15,15,5372.5732421875,0.02754106493496091,ok,225
AC0921_S,diff_inventory,artifacts/images_to_convert/AC0921_S.jpg,artifacts/converted_images/converted_svgs/AC0921_S.svg,15,25,6651.15185546875,0.034095357454664875,ok,375
AC0922_S,diff_inventory,artifacts/images_to_convert/AC0922_S.jpg,artifacts/converted_images/reports/conversion_bestlist_snapshots/AC0922_S.svg,25,15,5359.11181640625,0.02747205852316417,ok,375
AC0930_L,diff_inventory,artifacts/images_to_convert/AC0930_L.jpg,artifacts/converted_images/converted_svgs/AC0930_L.svg,25,25,8389.6171875,0.04300713667820069,ok,625
AC0932_M,diff_inventory,artifacts/images_to_convert/AC0932_M.jpg,artifacts/converted_images/converted_svgs/AC0932_M.svg,35,20,4194.88720703125,0.02150397132913623,ok,700
AC1002_S,diff_inventory,artifacts/images_to_convert/AC1002_S.jpg,,,,,,missing_pair,
AC1003_L,diff_inventory,artifacts/images_to_convert/AC1003_L.jpg,,,,,,missing_pair,
AC1004_M,diff_inventory,artifacts/images_to_convert/AC1004_M.jpg,,,,,,missing_pair,
AC100_1_M,diff_inventory,artifacts/images_to_convert/AC100_1_M.jpg,artifacts/converted_images/converted_svgs/AC100_1_M.svg,30,60,12023.03515625,0.06163288558887607,ok,1800
AC5000_S,diff_inventory,artifacts/images_to_convert/AC5000_S.jpg,artifacts/converted_images/converted_svgs/AC5000_S.svg,60,40,8687.9677734375,0.04453655144655901,ok,2400
AC5030_S,diff_inventory,artifacts/images_to_convert/AC5030_S.jpg,artifacts/converted_images/converted_svgs/AC5030_S.svg,150,125,10584.943359375,0.054260891243752406,ok,18750
AC5041_M,diff_inventory,artifacts/images_to_convert/AC5041_M.jpg,artifacts/converted_images/converted_svgs/AC5041_M.svg,150,140,31667.6640625,0.1623358403819044,ok,21000
