variant;filename;status;best_iter;best_error;error_per_pixel;mean_delta2;std_delta2
GE1401_L;GE1401_L.jpg;;1;12.571852;0.00931248;948.038513;2726.118896
GE1402_L;GE1402_L.jpg;;1;15.235062;0.01128523;1157.754028;2426.487793
GE1402_M;GE1402_M.jpg;;1;13.691048;0.01564691;900.988586;1705.520264
GE1410_L;GE1410_L.jpg;;1;47.600533;0.07616085;24170.253906;46253.468750
GE9001_3SX;GE9001_3Sx.jpg;;1;6.475986;0.00174086;1201.531128;4033.904785
GE9001_6S;GE9001_6S.jpg;;1;22.164444;0.03694074;3661.479980;5683.008301
GE9005_3M;GE9005_3M.jpg;;1;27.950000;0.06987500;5906.250000;9092.670898
GE9005_7S;GE9005_7S.jpg;;1;23.300000;0.23300000;3492.500000;3948.648682
GE9006_4S;GE9006_4S.jpg;;1;10.386667;0.10386667;52.000000;106.544823
GE9006_7S;GE9006_7S.jpg;;1;24.656667;0.24656667;4453.229980;4615.348145
GE9011_4M;GE9011_4M.jpg;;1;28.115556;0.02342963;5743.853516;9100.759766
GE9012_2S;GE9012_2S.jpg;;1;39.286667;0.13095556;14774.686523;29015.730469
GE9012_6M;GE9012_6M.jpg;;1;41.218333;0.03434861;16423.210938;31353.095703
GE9013_1M;GE9013_1M.jpg;;1;45.137500;0.03761458;16001.943359;22744.216797
GE9013_2S;GE9013_2S.jpg;;1;41.438889;0.13812963;11337.410156;17792.880859
GE9014_7S;GE9014_7S.jpg;;1;29.181111;0.09727037;9312.976562;12524.120117
GE9021_2M;GE9021_2M.jpg;;1;40.679722;0.03389977;13325.614258;22328.175781
GE9021_2S;GE9021_2S.jpg;;1;36.953333;0.12317778;9076.440430;16799.931641
GE9021_4M;GE9021_4M.jpg;;1;25.108333;0.02092361;3860.441650;6685.895996
GE9021_6S;GE9021_6S.jpg;;1;46.684444;0.15561481;12536.860352;20647.503906
GE9022_6M;GE9022_6M.jpg;;1;43.904444;0.03658704;15065.906250;26785.271484
GE9022_7S;GE9022_7S.jpg;;1;29.646667;0.09882222;9951.287109;13961.044922
GE9023_2S;GE9023_2S.jpg;;1;37.478889;0.12492963;8635.663086;15327.272461
GE9031_7S;GE9031_7S.jpg;;1;16.925000;0.04231250;3901.205078;6502.754883
GE9032_1M;GE9032_1M.jpg;;1;22.373125;0.01398320;5537.033203;11993.791016
GE9032_1S;GE9032_1S.jpg;;1;30.384167;0.07596042;4853.272461;5648.880371
GE9032_6S;GE9032_6S.jpg;;1;28.593333;0.07148333;6981.890137;12446.927734
GE9033_1M;GE9033_1M.jpg;;1;24.600833;0.01537552;6374.351074;13300.595703
GE9033_3M;GE9033_3M.jpg;;1;18.210000;0.01138125;3331.568848;7645.342285
GE9033_4M;GE9033_4M.jpg;;1;16.654167;0.01040885;1746.396240;2787.063232
GE9034_2S;GE9034_2S.jpg;;1;26.798333;0.06699583;6671.259766;11292.404297
GE9034_6S;GE9034_6S.jpg;;1;28.725000;0.07181250;6989.279785;12362.163086
GE9035_2S;GE9035_2S.jpg;;1;30.695000;0.07673750;5911.479980;8520.407227
GE9041_1S;GE9041_1S.jpg;;1;16.292500;0.04073125;3702.222412;8109.300293
GE9041_5S;GE9041_5S.jpg;;1;13.735833;0.03433958;2827.822510;6293.012695
GE9042_3S;GE9042_3S.jpg;;1;15.272500;0.03818125;2316.777588;6214.078613
GE9043_1M;GE9043_1M.jpg;;1;15.948750;0.00996797;4977.950195;13685.013672
GE9043_2S;GE9043_2S.jpg;;1;14.799167;0.03699792;2544.112549;5355.717285
GE9043_3S;GE9043_3S.jpg;;1;12.342500;0.03085625;2049.282471;5181.043945
GE9043_6S;GE9043_6S.jpg;;1;19.222500;0.04805625;4244.772461;9235.079102
GE9044_3M;GE9044_3M.jpg;;1;13.446667;0.00840417;3380.187500;9351.762695
GE9901_L;GE9901_L.jpg;;1;3.667537;0.00000466;411.944122;1674.109009
L60X;L60x.jpg;;1;56.253373;0.00677751;19057.296875;27735.486328
NAV0014;NAV0014.JPG;;1;31.410370;0.02326694;5448.654785;9775.348633
SE0010;SE0010.jpg;;1;25.433846;0.03912899;6004.772461;12978.762695
SE0014;SE0014.jpg;;1;20.948077;0.02014238;5204.128906;12827.199219
SE0024;SE0024.jpg;;1;16.889286;0.02010629;3980.125000;10605.872070
SE0041_1;SE0041_1.jpg;;1;65.975649;0.05355166;22543.972656;21075.390625
SE0071;SE0071.jpg;;1;25.041026;0.02568310;6102.439941;14000.571289
SE0072;SE0072.jpg;;1;27.604571;0.03154808;7378.175781;15426.099609
SE0102;SE0102.jpg;;1;28.009375;0.02917643;6544.796875;13536.108398
SE0120;SE0120.jpg;;1;30.720000;0.04915200;8090.707031;15804.640625
UNBENANNT;Unbenannt.JPG;;1;7.115407;0.00316240;371.834229;690.879395
WEATHER03;weather03.jpg;;1;35.400878;0.00951381;7922.636230;13936.216797
Z_205;z_205.jpg;;1;33.723856;0.08265651;5695.588379;6542.563477
Z_247;z_247.jpg;;1;34.882035;0.11325336;8510.502930;18484.257812
Z_298;z_298.jpg;;1;24.043860;0.09039045;3269.996338;4330.763184
Z_299;z_299.jpg;;1;27.271930;0.10252605;4359.236816;7486.159180
